is_comb;items;pattern_filters;min_support;candidate_size;ja_version;correct;incorrect;empty_candidates;num_of_patterns;total;accuracy_overall;error_rate;avg_len_of_candidates;median_len_of_candidates;modus_len_of_candidates;max_len_of_candidates;min_len_of_candidates;guess_1;guess_2;guess_3;guess_perc_1;guess_perc_2;guess_perc_3
False;JA4+JA4S+SNI;>=len(2);0.01;3;4;366;39;0;545;405;0.9037037037037037;0.0962962962962963;2.128395061728395;2.0;3;3;1;255;70;41;0.63;0.17;0.1
True;JA4+JA4S+SNI;>=len(2);0.01;3;4;352;53;0;545;405;0.8691358024691358;0.1308641975308642;1.5851851851851853;1.0;1;3;1;286;48;18;0.71;0.12;0.04
False;JA4+JA4S+SNI;>=len(2)x10;0.01;3;4;355;50;0;136;405;0.8765432098765432;0.12345679012345678;2.128395061728395;2.0;3;3;1;270;53;32;0.67;0.13;0.08
True;JA4+JA4S+SNI;>=len(2)x10;0.01;3;4;351;54;0;136;405;0.8666666666666667;0.13333333333333333;1.5851851851851853;1.0;1;3;1;309;25;17;0.76;0.06;0.04
False;JA4+JA4S+SNI;>=len(2)x5;0.01;3;4;363;42;0;73;405;0.8962962962962963;0.1037037037037037;2.128395061728395;2.0;3;3;1;259;71;33;0.64;0.18;0.08
True;JA4+JA4S+SNI;>=len(2)x5;0.01;3;4;351;54;0;73;405;0.8666666666666667;0.13333333333333333;1.5851851851851853;1.0;1;3;1;304;37;10;0.75;0.09;0.02
False;JA4+JA4S+SNI;len(2);0.01;3;4;366;39;0;400;405;0.9037037037037037;0.0962962962962963;2.128395061728395;2.0;3;3;1;255;71;40;0.63;0.18;0.1
True;JA4+JA4S+SNI;len(2);0.01;3;4;354;51;0;400;405;0.8740740740740741;0.1259259259259259;1.5851851851851853;1.0;1;3;1;286;48;20;0.71;0.12;0.05
False;JA4+JA4S+SNI;len(2)x10;0.01;3;4;357;48;0;132;405;0.8814814814814815;0.11851851851851852;2.128395061728395;2.0;3;3;1;271;56;30;0.67;0.14;0.07
True;JA4+JA4S+SNI;len(2)x10;0.01;3;4;353;52;0;132;405;0.8716049382716049;0.12839506172839507;1.5851851851851853;1.0;1;3;1;300;35;18;0.74;0.09;0.04
False;JA4+JA4S+SNI;len(2)x5;0.01;3;4;368;37;0;71;405;0.908641975308642;0.09135802469135802;2.128395061728395;2.0;3;3;1;281;44;43;0.69;0.11;0.11
True;JA4+JA4S+SNI;len(2)x5;0.01;3;4;355;50;0;71;405;0.8765432098765432;0.12345679012345678;1.5851851851851853;1.0;1;3;1;317;27;11;0.78;0.07;0.03
False;JA4+JA4S+SNI;len(3);0.01;3;4;367;38;0;145;405;0.9061728395061729;0.09382716049382717;2.128395061728395;2.0;3;3;1;233;87;47;0.58;0.21;0.12
True;JA4+JA4S+SNI;len(3);0.01;3;4;353;52;0;145;405;0.8716049382716049;0.12839506172839507;1.5851851851851853;1.0;1;3;1;273;69;11;0.67;0.17;0.03
False;JA4+JA4S+SNI;len(3)x10;0.01;3;4;364;41;0;98;405;0.8987654320987655;0.10123456790123457;2.128395061728395;2.0;3;3;1;239;93;32;0.59;0.23;0.08
